module	tier	reason
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairPinching	reusable	Declaration-level review groups 8 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixColumnPair_conjTranspose_mul_eq_compression_mul_conjTranspose_of_commute`, `NumStability.cstarMatrixColumnPair_conjTranspose_mul_reflectionAverage_of_sum`, `NumStability.cstarMatrixColumnPair_mul_columnPair_eq_columnPair_compression_of_commute`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeProjection	reusable	Declaration-level review groups 5 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixColumnPairRangeProjection`, `NumStability.cstarMatrixColumnPairRangeProjection_isSelfAdjoint`, `NumStability.cstarMatrixColumnPairRangeProjection_mul_columnPair_of_sum`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ColumnPairRangeReflection	reusable	Declaration-level review groups 8 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixColumnPairRangeReflection`, `NumStability.cstarMatrixColumnPairRangeReflection_conj_isStrictlyPositive_of_sum`, `NumStability.cstarMatrixColumnPairRangeReflection_isSelfAdjoint`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteDimensional	reusable	Declaration-level review groups 1 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_complex_finiteDimensional`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteMatrixOrder	reusable	Declaration-level review groups 2 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_le_of_matrix_le`, `NumStability.cstarMatrix_nonneg_of_matrix_posSemidef`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealEmbedding	reusable	Declaration-level review groups 12 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.finiteComplexCStarMatrix`, `NumStability.finiteComplexCStarMatrix_add`, `NumStability.finiteComplexCStarMatrix_apply`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.FiniteRealOrder	reusable	Declaration-level review groups 3 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.finiteComplexCStarMatrix_add_smul_one_le_of_finiteLoewnerLe`, `NumStability.finiteComplexCStarMatrix_le_of_finiteLoewnerLe`, `NumStability.finiteComplexCStarMatrix_nonneg_of_finitePSD`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ProjectionReflection	reusable	Declaration-level review groups 7 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixProjectionReflection`, `NumStability.cstarMatrixProjectionReflection_isSelfAdjoint_of_isSelfAdjoint`, `NumStability.cstarMatrixProjectionReflection_isUnit_of_idempotent`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularCompression	reusable	Declaration-level review groups 7 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixCompressionCLM`, `NumStability.cstarMatrixCompressionCLM_apply`, `NumStability.cstarMatrix_compression_add`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularMultiplication	reusable	Declaration-level review groups 8 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_add_mul_rect`, `NumStability.cstarMatrix_mul_add_rect`, `NumStability.cstarMatrix_mul_assoc_rect`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ReflectionAverage	reusable	Declaration-level review groups 4 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_commute_projection_of_commute_reflection`, `NumStability.cstarMatrix_reflectionAverage_commute_of_involutive`, `NumStability.cstarMatrix_reflectionAverage_compression_of_fixed`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.StrictPositivity	reusable	Declaration-level review groups 3 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_pos_real_smul_one_isStrictlyPositive`, `NumStability.cstarMatrix_unitary_conj_isStrictlyPositive`, `NumStability.finiteComplexCStarMatrix_add_pos_smul_one_isStrictlyPositive_of_finitePSD`.
NumStability.Analysis.CStarMatrixBridge	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.CStarMatrixExpectation	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.CStarMatrixTrace	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.DunfordResidue	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.HenriciExtremal	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.HenriciSharpConstant	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.HenriciSharpConstantExact	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.JordanNormalForm	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.LiebTrace	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers	reusable	Declaration-level review groups 5 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.norm_pow_normal_eq`.
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur	reusable	Declaration-level review groups 3 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.normal_iff_strictUpper_eq_zero_unconditional`, `NumStability.normal_schur_strictUpper_eq_zero`, `NumStability.schurNormalImpliesStrictUpperZero_holds`.
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates	reusable	Declaration-level review groups 17 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.exists_schur_powerBounds`, `NumStability.norm_pow_eq_norm_schur_pow`, `NumStability.norm_pow_nilpotent`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension	reusable	Declaration-level review groups 7 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.SpijkerArcLengthBound`, `NumStability.norm_cstarMatrixEuclideanCoefficient_pow_le_of_spijker`, `NumStability.norm_pow_le_exp_mul_dim_of_spijker`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds.Kreiss	reusable	Declaration-level review groups 2 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.norm_pow_le_exp_mul_dim_proved`, `NumStability.powerBound_exp_mul_dim_proved`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	reusable	Declaration-level review groups 17 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.RationalOrderCertificate.arcLength_le`, `NumStability.spijkerArcLengthBound_proved`, `NumStability.spijkerPlanarAnalyticBridge`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial	reusable	Declaration-level review groups 5 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.RationalOrderCertificate.arcLength_le_of_planar_analyticBridge`, `NumStability.RationalOrderCertificate.projection_crossing_finset_card_le_two_mul`, `NumStability.spijkerProjectionCrossingPolynomial_natDegree_le`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients.Analytic	reusable	Declaration-level review groups 13 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixEuclideanCoefficientCLM`, `NumStability.cstarMatrixEuclideanCoefficientCLM_apply`, `NumStability.cstarMatrixEuclideanCoefficientCLM_circleIntegral`.
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	reusable	Declaration-level review groups 10 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.norm_pow_le_two_mul_numericalRadius_pow`, `NumStability.numericalRadiusCLM_pow_le`, `NumStability.numericalRadiusCLM_pow_le_one_of_le_one`.
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	reusable	Reusable Berger k=2 and powers-of-two numerical-radius inequalities (`NumStability.norm_apply_sq_add_norm_inner_sq_le`, `NumStability.norm_pow_two_le_two_mul_numericalRadius_sq`, `NumStability.numericalRadiusCLM_pow_two_le`); declaration review found no resolvent statement in this group.
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Internal.HermitianEuclideanSpaceNotation	internal	Unsupported private notation required by the nearest reusable owner (`_private.NumStability.Analysis.BergerInequality.0.NumStability.term𝔼`); the leaf is deliberately internal and is never advertised by a public aggregate.
NumStability.Analysis.LinearOperators.NumericalRadius.Core.Internal.EuclideanSpaceNotation	internal	Unsupported private notation required by the nearest reusable owner (`_private.NumStability.Analysis.NumericalRadius.0.NumStability.term𝔼`); the leaf is deliberately internal and is never advertised by a public aggregate.
NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.Internal.ScalarNotation	internal	Unsupported private notation required by the nearest reusable owner (`_private.NumStability.Analysis.PseudospectralResolvent.0.NumStability.«term↑ₐ»`); the leaf is deliberately internal and is never advertised by a public aggregate.
NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal	reusable	Declaration-level review groups 3 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.normal_upperTriangular_isDiag`.
NumStability.Analysis.MatrixPowersBaiDemmelGu	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersBinomialBound	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersGautschi	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersHenrici	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersHenriciNormal	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersKreiss	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersKreissSpijker	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersLaszlo	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersLp185Primary	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersSchur	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersSpijkerClosure	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersSpijkerPlanar	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.MatrixPowersSpijkerRational	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.NilpotentJordanChain	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.NumericalRadius	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.OperatorLog	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.PseudospectralLowerBound	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.PseudospectralPowerBound	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.PseudospectralResolvent	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.ResolventFunctionalCalculus	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Analysis.SpijkerProjectionIntegral	compatibility	historical R07 owner becomes an import-only forwarding module
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreissUnconditional	aggregate	integrator-owned declaration-free umbrella over reviewed public R07 leaves
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreissUnconditional.Bounds	source	Exact Higham Chapter 18 unconditional Kreiss correspondence aliases (`NumStability.higham18_kreiss_two_sided_proved`, `NumStability.higham18_kreiss_upper_proved`); the dedicated source-strength family keeps them separate from the reusable finite-dimensional bounds.
