module	applied_tier	provenance	frozen_proposal_tier	rationale
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Accumulation through a general final diagonal -/', 79 source-marked declarations); generic helpers are scoped to the 
NumStability.Algorithms.Ch14GJEOperationalBridge	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Canonical output, inverse, and solve witnesses -/', 39 source-marked declarations); generic helpers are scoped to the
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Structural proximity data -/', 36 source-marked declarations); generic helpers are scoped to the same source result r
NumStability.Algorithms.Ch14GJESourceAccumulationBridge	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 3 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.Ch14GJETheorem145SourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Source-trace objects -/', 32 source-marked declarations); generic helpers are scoped to the same source result rather
NumStability.Algorithms.Ch14GaussJordanAccumulation	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 30 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.Ch14GaussJordanQConstruction	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# The special upper-triangular product in (14.27)-(14.29) -/', 93 source-marked declarations); generic helpers are scop
NumStability.Algorithms.Ch14GaussJordanSPDCorollary	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '## Positive-pivot symmetric-GE to Cholesky bridge', 35 source-marked declarations); generic helpers are scoped to the s
NumStability.Algorithms.Ch14GaussJordanSourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Exact correctness of Algorithm 14.4 -/', 52 source-marked declarations); generic helpers are scoped to the same sourc
NumStability.Algorithms.Ch14GaussJordanStep	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 14 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.Ch14Method1BWhole	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 18 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.Ch14Method2C	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 14 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.Ch14Method2CWhole	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 11 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.Ch14Method2Loop	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 9 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.Ch14MethodDLeftResidual	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 5 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.Ch14MethodDProductDischarge	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 5 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.Ch14MethodDUpperCertificate	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 8 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.Ch14MethodsBC	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Method B: concrete upper inverse followed by a right-side solve -/', 51 source-marked declarations); generic helpers 
NumStability.Algorithms.Ch14Problem142	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '## Rectangular max-norm helpers -/', 24 source-marked declarations); generic helpers are scoped to the same source resu
NumStability.Algorithms.Ch14Problem142Families	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '## Uniform family vocabulary -/', 33 source-marked declarations); generic helpers are scoped to the same source result 
NumStability.Algorithms.Ch14Problem142Method2B	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '## First-order transport through an exact matrix product -/', 13 source-marked declarations); generic helpers are scope
NumStability.Algorithms.Ch14ProductErrorNotation	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 0/0 source-named declarations and title 'Ch14ProductErrorNotation (compatibility module)'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.MatrixInversion and numbered/printed/source declarations 
NumStability.Algorithms.Ch15CondEstimators	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 25 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.Ch15DixonClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 16 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.Ch15DixonProbability	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Gaussian-direction small-ball estimates used by Higham Theorem 15.6 (Dixon). -/', 18 source-marked declarations); gener
NumStability.Algorithms.Ch5DerivativeError	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Notation', 13 source-marked declarations); generic helpers are scoped to the same source result rather than a support
NumStability.Algorithms.Ch5SourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Literal bidiagonal systems in (5.5) and (5.6) -/', 40 source-marked declarations); generic helpers are scoped to the 
NumStability.Algorithms.Chapter15CondEst	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Equation (15.6): an exact LAPACK-estimator counterexample -/', 12 source-marked declarations); generic helpers are sc
NumStability.Algorithms.Cholesky.CholeskyDemmel	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 21 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.Cholesky.CholeskyFl	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 53 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.Cholesky.CholeskyNonsym	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 19 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.Cholesky.CholeskyPSD	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 87 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.Cholesky.CholeskySpec	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 17 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.Cholesky.Higham1014Equation1022	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Theorem 10.14, equation (10.22)', 32 source-marked declarations); generic helpers are scoped to the same source 
NumStability.Algorithms.Cholesky.Higham1014SourceError	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Theorem 10.14: literal displays (10.23) and (10.24)', 18 source-marked declarations); generic helpers are scoped
NumStability.Algorithms.Cholesky.Higham1029Source	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham equation (10.29): exact LU growth bound', 16 source-marked declarations); generic helpers are scoped to the same
NumStability.Algorithms.Cholesky.HighamMathiasSource	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Source-side ingredients for the Higham--Mathias LU success theorem', 41 source-marked declarations); generic helpers ar
NumStability.Algorithms.CondEstimation	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 24 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.GaussJordan	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 57 generic-named declarations); citations or historical filenames do not make the 
NumStability.Algorithms.GaussJordanPivoting	reusable	frozen-proposal	reusable	frozen reviewed proposal (medium confidence): Source review found a source-neutral mathematical/algorithmic surface (title '(no module title)', 0 generic-named declarations); citations or historical filenames do not make the d
NumStability.Algorithms.Higham5FastPolynomialEvaluation	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# The explicit quartic scheme on page 103 -/', 21 source-marked declarations); generic helpers are scoped to the same s
NumStability.Algorithms.Higham5PatersonStockmeyer	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# The source polynomial and the Paterson--Stockmeyer blocks -/', 28 source-marked declarations); generic helpers are sc
NumStability.Algorithms.Higham726Rump	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Rump's cycle construction for Higham's equation (7.26)', 40 source-marked declarations); generic helpers are scoped to 
NumStability.Algorithms.HighamChapter10	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 38/46 source-named declarations and title 'HighamChapter10 (compatibility module)'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.LinearSystems.Cholesky and numbered/printed/source declar
NumStability.Algorithms.HighamChapter15BoydBridges	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 4/65 source-named declarations and title 'The smooth dual is the explicit l^p gradient -/'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 1/64 source-named declarations and title 'The weighted tangent projection and the full stati'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15BoydLocalStability	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 7/22 source-named declarations and title 'Spectral radius produces a finite power certificat'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15BoydRowwiseDomain	reusable	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as reusable from 0/22 source-named declarations and title 'The literal update when `1 < p < 2` -/'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15BoydScalar	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 2/9 source-named declarations and title ''. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15BoydSourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 4 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.HighamChapter15BoydSourceDomain	reusable	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as reusable from 0/12 source-named declarations and title 'The literal rectangular update on the completed so'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15BoydSourceLocal	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 1/82 source-named declarations and title 'Smoothness of the explicit normalized `l^p` dual -'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	reusable	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as reusable from 0/4 source-named declarations and title ''. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15BoydUniqueness	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 1/24 source-named declarations and title ''. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15ConvergenceProse	reusable	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as reusable from 0/34 source-named declarations and title 'Conditional stationary-limit bridge (`p=2`) -/'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter15RectTermination	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 2/55 source-named declarations and title 'Rectangular endpoint p = 1 -/'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.HighamChapter5ComplexAlgorithm51	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 0/8 source-named declarations and title 'HighamChapter5ComplexAlgorithm51 (compatibility mo'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.PolynomialEvaluation and numbered/printed/source declarat
NumStability.Algorithms.HighamChapters1To9SourceClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Higham Chapters 1--9: source-audit closure lemmas', 82 source-marked declarations); generic helpers are scoped to the s
NumStability.Algorithms.Horner	reusable	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as reusable from 0/6 source-named declarations and title 'Horner (compatibility module)'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.PolynomialEvaluation and numbered/printed/source declarat
NumStability.Algorithms.KahanAbsolute	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title 'Kahan Absolute-Value Example: Exact Baseline', 0 source-marked declarations); generic helpers are scoped to the same so
NumStability.Algorithms.LU.Higham15Problem15_4	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 14 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.LU.Higham15Problem15_6	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '# Tridiagonal scalar action -/', 10 source-marked declarations); generic helpers are scoped to the same source result r
NumStability.Algorithms.LU.Higham15Problem15_6Closure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 15 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.LU.Higham15Problem15_6Operational	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 16 source-marked declarations); generic helpers are scoped to the same source result rather than a 
NumStability.Algorithms.LU.TridiagonalCondCh15	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 3 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.LU.TridiagonalCondCh15Closure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 2 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.LU.TridiagonalCondCh15IkebeClosure	source	frozen-proposal	source	frozen reviewed proposal (high confidence): Source review found numbered/book-specific ownership (title '(no module title)', 1 source-marked declarations); generic helpers are scoped to the same source result rather than a s
NumStability.Algorithms.MatrixInversion	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 13/13 source-named declarations and title 'MatrixInversion (compatibility module)'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.MatrixInversion and numbered/printed/source declarations 
NumStability.Algorithms.MatrixInversionMethod2BInstance	reusable	frozen-proposal	reusable	frozen reviewed proposal (medium confidence): Source review found a source-neutral mathematical/algorithmic surface (title '## General two-product implementation of equation (14.14)', 0 generic-named declarations); citations o
NumStability.Algorithms.MatrixPowers	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.MatrixPowersComplex	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.MatrixPowersJordan	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.MatrixPowersLp	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.MatrixPowersLpJordan	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.MatrixPowersPseudospectral	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.MatrixPowersSpectral	compatibility	new		structural-only import+docstring module whose docstring declares it a retained import-compatibility shim
NumStability.Algorithms.PNormPowerMethod	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 5/74 source-named declarations and title 'Equation (15.3): the concrete Euclidean gradient -'. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.PNormPowerMethodGeneralP	reusable	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as reusable from 0/37 source-named declarations and title 'Literal rectangular source form (`A : R^{m x n}`) '. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.PNormPowerMethodRect	source	frozen-proposal-mixed-resolved	mixed_pending_split	frozen proposal marked mixed_pending_split (an implementation queue, not an exception); primary tier taken as source from 8/31 source-named declarations and title ''. Required split action retained: Split source-neutral declarations into NumStability.Algorithms.NormEstimation and numbered/printed/source declarations i
NumStability.Algorithms.RandNLA	aggregate	frozen-proposal	aggregate	frozen reviewed proposal (high confidence): The body is declaration-free and contains 17 direct project imports; it is a discovery umbrella, not a declaration owner.
NumStability.Algorithms.RandNLA.ElementwiseSampling	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Algorithm 1: element-wise sampling', 84 generic-named declarations); citations or historical filenam
NumStability.Algorithms.RandNLA.ElementwiseSpectral	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Algorithm 1 spectral transfer layer', 290 generic-named declarations); citations or historical filen
NumStability.Algorithms.RandNLA.ElementwiseTraceMGF	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# One-step trace-MGF adapters', 11 generic-named declarations); citations or historical filenames do n
NumStability.Algorithms.RandNLA.HitCountConcentration	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Concentration for the element-wise sampling hit counter', 95 generic-named declarations); citations 
NumStability.Algorithms.RandNLA.LeastSquaresSketch	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Least-squares sketch objective', 139 generic-named declarations); citations or historical filenames 
NumStability.Algorithms.RandNLA.LowRankApprox	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title 'Low-rank approximation foundations for the RandNLA CACM formalization', 403 generic-named declarations
NumStability.Algorithms.RandNLA.Preconditioning	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Algorithm 3: random-projection preconditioning', 983 generic-named declarations); citations or histo
NumStability.Algorithms.RandNLA.RowSampling	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Algorithm 2: row sampling', 57 generic-named declarations); citations or historical filenames do not
NumStability.Algorithms.RandNLA.RowSamplingGram	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Algorithm 2 Gram analysis', 96 generic-named declarations); citations or historical filenames do not
NumStability.Algorithms.RandNLA.RowSamplingLeverage	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Algorithm 2 with leverage-score probabilities', 20 generic-named declarations); citations or histori
NumStability.Algorithms.RandNLA.RowSamplingLeverageComputedBasis	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Algorithm 2 leverage sampling with a computed/stored basis table', 43 generic-named declarations); c
NumStability.Algorithms.RandNLA.RowSamplingLeverageMGF	reusable	frozen-proposal	reusable	frozen reviewed proposal (high confidence): Source review found a source-neutral mathematical/algorithmic surface (title '# Centered leverage covariance log-CGF', 31 generic-named declarations); citations or historical filen
