reviewed_composition	canonical_tier	old_module	canonical_module	migration_action	representative_declaration
source	source	NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEActualDoolittleAdapter	collapse declaration-free locator to exact wrapper	ch14ext_gjeActualDoolittleL
source	source	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.AsymptoticBounds	move declarations to canonical source owner; retain exact wrapper	ch14ext_gamma_family_isBigO_unit
source	source	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.FinalDivisionBounds	move declarations to canonical source owner; retain exact wrapper	ch14ext_gjeResidualFinalDivisionHigherOrder_family_isBigO
source	source	NumStability.Algorithms.Ch14GJEOperationalBridge	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEOperationalBridge	collapse declaration-free locator to exact wrapper	ch14ext_gjeSourceComputedOutput
source	source	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.PrintedEnvelopeBounds	move declarations to canonical source owner; retain exact wrapper	ch14ext_gjeExactQPEnvelope_le_printed_add_correction
source	source	NumStability.Algorithms.Ch14GJESourceAccumulationBridge	NumStability.Source.Higham.Chapter14.Algorithm04.Accumulation.GJESourceAccumulationBridge	collapse declaration-free locator to exact wrapper	ch14ext_gje_stage2_forward_error_of_accumulation_14_29
source	source	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.SourceEndpoints	move declarations to canonical source owner; retain exact wrapper	ch14ext_gjeSourceTrace_14_30abc_printed_vanishing_family_endpoint
source	source	NumStability.Algorithms.Ch14GaussJordanAccumulation	NumStability.Source.Higham.Chapter14.Algorithm04.Accumulation.GaussJordanAccumulation	collapse declaration-free locator to exact wrapper	ch14ext_absCumProd
source	source	NumStability.Algorithms.Ch14GaussJordanQConstruction	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GaussJordanQConstruction	collapse declaration-free locator to exact wrapper	ch14ext_gjeConstructedQ_overall_forward_error
source	source	NumStability.Algorithms.Ch14GaussJordanSPDCorollary	NumStability.Source.Higham.Chapter14.Corollary06.SPD.GaussJordanSPDCorollary	collapse declaration-free locator to exact wrapper	ch14ext_opNorm2_transpose_mul_self_eq
source	source	NumStability.Algorithms.Ch14GaussJordanSourceClosure	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GaussJordanSourceClosure	collapse declaration-free locator to exact wrapper	ch14ext_StateSatisfies
source	source	NumStability.Algorithms.Ch14GaussJordanStep	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanStep	collapse declaration-free locator to exact wrapper	ch14ext_prod_three
source	source	NumStability.Algorithms.Ch14Method1BWhole	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.WholeMatrixResidual	move declarations to canonical source owner; retain exact wrapper	ch14ext_m1b_block_right_residual
source	source	NumStability.Algorithms.Ch14Method2C	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual	move declarations to canonical source owner; retain exact wrapper	ch14ext_method2C_block_left_residual
source	source	NumStability.Algorithms.Ch14Method2CWhole	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual	move declarations to canonical source owner; retain exact wrapper	ch14ext_method2CInv_left_residual
source	source	NumStability.Algorithms.Ch14Method2Loop	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2.Method2Loop	collapse declaration-free locator to exact wrapper	ch14ext_method2Inv
source	source	NumStability.Algorithms.Ch14MethodDLeftResidual	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodD.MethodDLeftResidual	collapse declaration-free locator to exact wrapper	ch14ext_methodD_expanded_budget_eps
source	source	NumStability.Algorithms.Ch14MethodDProductDischarge	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodD.MethodDProductDischarge	collapse declaration-free locator to exact wrapper	ch14ext_methodD_prod_error_flMatMul
source	source	NumStability.Algorithms.Ch14MethodDUpperCertificate	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodD.MethodDUpperCertificate	collapse declaration-free locator to exact wrapper	ch14ext_finRev
source	source	NumStability.Algorithms.Ch14MethodsBC	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodC.MethodsBC	collapse declaration-free locator to exact wrapper	ch14ext_methodCStageColumn
source	source	NumStability.Algorithms.Ch14Problem142	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockDerivations	move declarations to canonical source owner; retain exact wrapper	higham14_problem14_2_lowerBlock_one
source	source	NumStability.Algorithms.Ch14Problem142Families	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFamilies	move declarations to canonical source owner; retain exact wrapper	ch14ext_problem14_2_method1B_twoBlock_right_family
source	source	NumStability.Algorithms.Ch14Problem142Method2B	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Method2B.TwoBlockDerivation	move declarations to canonical source owner; retain exact wrapper	higham14_problem14_2_method2B_twoBlock_left_firstOrder
source	source	NumStability.Algorithms.Ch14ProductErrorNotation	NumStability.Source.Higham.Chapter14.Section01.ProductErrorNotation.ProductErrorNotation	collapse declaration-free locator to exact wrapper	productDelta_abs_le_gamma_operationBudget
mixed	source	NumStability.Algorithms.GaussJordan	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.CumulativeProductBounds	move residual source declarations; retain existing reusable owner; exact wrapper	gje_rowDiagDominantUpper_residual_of_cumulative_product_certificates
source	source	NumStability.Algorithms.GaussJordanPivoting	NumStability.Source.Higham.Chapter14.Algorithm04.Pivoting.GaussJordanPivoting	collapse declaration-free locator to exact wrapper	ch14ext_pivotCandidates
mixed	source	NumStability.Algorithms.MatrixInversion	NumStability.Source.Higham.Chapter14.MatrixInversionProblems	move residual source declarations; retain existing reusable owners; exact wrapper	higham14_problem14_12_hadamardConditionNumber_stressUpper_one_eq_sqrt_factorial
source	source	NumStability.Algorithms.MatrixInversionMethod2BInstance	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2B.MatrixInversionMethod2BInstance	collapse declaration-free locator to exact wrapper	ch14ext_method2B_flFirstProduct
