reviewed_composition	canonical_tier	old_module	canonical_module	migration_action	representative_declaration	rationale
source	source	NumStability.Algorithms.HighamChapter15BoydSourceDomain	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.SmoothnessDomain	move declarations to canonical source owner; retain exact wrapper	rect_general_fderiv_xnext_apply_eq_inv_projectedLemma3B_source_domain	source-domain specialization for differentiability of the Chapter 15 update
source	source	NumStability.Algorithms.HighamChapter15BoydSourceLocal	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.LocalLinearization	move declarations to canonical source owner; retain exact wrapper	higham15_boyd_local_corrected_of_actual_derivative_power_stable	local linearization chain matching Boyd's cited source conditions
source	source	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.SecondDerivative	move declarations to canonical source owner; retain exact wrapper	boydConstrainedSecondVariation_is_second_derivative_rowwise_source_domain	second-derivative endpoint on the corrected source domain
source	source	NumStability.Algorithms.HighamChapter15BoydUniqueness	NumStability.Source.Higham.Chapter15.Algorithm01.Boyd.FixedPointUniqueness	move declarations to canonical source owner; retain exact wrapper	higham15_boyd_global_of_nonnegative_irreducibleGram	uniqueness closure for the Boyd-attributed global result
source	source	NumStability.Algorithms.HighamChapter15ConvergenceProse	NumStability.Source.Higham.Chapter15.Algorithm01.Convergence	move declarations to canonical source owner; retain exact wrapper	rankOne_second_step_whatever_x0_unit_opNorm_counterexample	precise closure and discrepancy for the prose following Lemma 15.2
source	source	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Algorithm01.RectangularTermination	move declarations to canonical source owner; retain exact wrapper	higham15_rectangular_infinity_n_plus_one_source_discrepancy	source-dimensional endpoint termination and discrepancy results
source	source	NumStability.Algorithms.LU.Higham15Problem15_4	NumStability.Source.Higham.Chapter15.Problem04.LUInverseBounds	move declarations to canonical source owner; retain exact wrapper	ch15p4_infNorm_Uinv_two_sided	Problem 15.4 inverse-factor norm bounds
source	source	NumStability.Algorithms.LU.Higham15Problem15_6	NumStability.Source.Higham.Chapter15.Problem06.Recurrences	move declarations to canonical source owner; retain exact wrapper	problem15_6_factors	Problem 15.6 tridiagonal scalar recurrence construction
source	source	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.InverseNormFormula	move declarations to canonical source owner; retain exact wrapper	H15_Problem15_6_of_irreducible_rightInverse	Problem 15.6 inverse-norm formula and exact operation schedule
source	source	NumStability.Algorithms.LU.Higham15Problem15_6Operational	NumStability.Source.Higham.Chapter15.Problem06.StoredExecution	move declarations to canonical source owner; retain exact wrapper	H15_Problem15_6_operational_of_irreducible_rightInverse	literal stored-vector execution of Problem 15.6
source	source	NumStability.Algorithms.LU.TridiagonalCondCh15	NumStability.Source.Higham.Chapter15.Section06.TridiagonalConditioning.Statements	move declarations to canonical source owner; retain exact wrapper	H15_Theorem15_7	Chapter-correct statements of Theorems 15.7 through 15.9
source	source	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalConditioning.DiagonalDominance	move declarations to canonical source owner; retain exact wrapper	H15_Theorem15_8_of_rowDiagDominant	printed-hypothesis closure of the diagonal-dominance theorem
source	source	NumStability.Algorithms.LU.TridiagonalCondCh15IkebeClosure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalConditioning.Ikebe	move declarations to canonical source owner; retain exact wrapper	H15_Theorem15_9_of_irreducible_rightInverse	printed-hypothesis closure of Ikebe's theorem
reusable	reusable	NumStability.Algorithms.PNormPowerMethod	NumStability.Algorithms.NormEstimation.PNorm.Iteration	move declarations to canonical reusable owner; retain exact wrapper	gammaSeq_le_opP	cohesive abstract p-norm power iteration and concrete endpoint instances
reusable	reusable	NumStability.Algorithms.PNormPowerMethodGeneralP	NumStability.Algorithms.NormEstimation.PNorm.RealLp	move declarations to canonical reusable owner; retain exact wrapper	realLpDual_hasDirectionalGradientAt	finite-dimensional real Lp realization used beyond a single displayed endpoint
reusable	reusable	NumStability.Algorithms.PNormPowerMethodRect	NumStability.Algorithms.NormEstimation.PNorm.Rectangular	move declarations to canonical reusable owner; retain exact wrapper	higham15_algorithm15_1_rectangular_result	cohesive rectangular p-norm iteration interface required by the source adapters
