module	tier	existence	base_blob_oid	rationale
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ProjectionReflection	reusable	new_casefold_vacant	-	Declaration-level review groups 7 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixProjectionReflection`, `NumStability.cstarMatrixProjectionReflection_isSelfAdjoint_of_isSelfAdjoint`, `NumStability.cstarMatrixProjectionReflection_isUnit_of_idempotent`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularCompression	reusable	new_casefold_vacant	-	Declaration-level review groups 7 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixCompressionCLM`, `NumStability.cstarMatrixCompressionCLM_apply`, `NumStability.cstarMatrix_compression_add`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.RectangularMultiplication	reusable	new_casefold_vacant	-	Declaration-level review groups 8 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_add_mul_rect`, `NumStability.cstarMatrix_mul_add_rect`, `NumStability.cstarMatrix_mul_assoc_rect`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.ReflectionAverage	reusable	new_casefold_vacant	-	Declaration-level review groups 4 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_commute_projection_of_commute_reflection`, `NumStability.cstarMatrix_reflectionAverage_commute_of_involutive`, `NumStability.cstarMatrix_reflectionAverage_compression_of_fixed`.
NumStability.Analysis.CStarMatrices.FiniteMatrixAlgebra.StrictPositivity	reusable	new_casefold_vacant	-	Declaration-level review groups 3 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrix_pos_real_smul_one_isStrictlyPositive`, `NumStability.cstarMatrix_unitary_conj_isStrictlyPositive`, `NumStability.finiteComplexCStarMatrix_add_pos_smul_one_isStrictlyPositive_of_finitePSD`.
NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers	reusable	new_casefold_vacant	-	Declaration-level review groups 5 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.norm_pow_normal_eq`.
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur	reusable	new_casefold_vacant	-	Declaration-level review groups 3 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.normal_iff_strictUpper_eq_zero_unconditional`, `NumStability.normal_schur_strictUpper_eq_zero`, `NumStability.schurNormalImpliesStrictUpperZero_holds`.
NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds.Estimates	reusable	new_casefold_vacant	-	Declaration-level review groups 17 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.exists_schur_powerBounds`, `NumStability.norm_pow_eq_norm_schur_pow`, `NumStability.norm_pow_nilpotent`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ArcLengthPowerBounds.FiniteDimension	reusable	new_casefold_vacant	-	Declaration-level review groups 7 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.SpijkerArcLengthBound`, `NumStability.norm_cstarMatrixEuclideanCoefficient_pow_le_of_spijker`, `NumStability.norm_pow_le_exp_mul_dim_of_spijker`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds.Kreiss	reusable	new_casefold_vacant	-	Declaration-level review groups 2 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.norm_pow_le_exp_mul_dim_proved`, `NumStability.powerBound_exp_mul_dim_proved`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	reusable	new_casefold_vacant	-	Declaration-level review groups 17 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.RationalOrderCertificate.arcLength_le`, `NumStability.spijkerArcLengthBound_proved`, `NumStability.spijkerPlanarAnalyticBridge`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial	reusable	new_casefold_vacant	-	Declaration-level review groups 5 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.RationalOrderCertificate.arcLength_le_of_planar_analyticBridge`, `NumStability.RationalOrderCertificate.projection_crossing_finset_card_le_two_mul`, `NumStability.spijkerProjectionCrossingPolynomial_natDegree_le`.
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ResolventCoefficients.Analytic	reusable	new_casefold_vacant	-	Declaration-level review groups 13 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.cstarMatrixEuclideanCoefficientCLM`, `NumStability.cstarMatrixEuclideanCoefficientCLM_apply`, `NumStability.cstarMatrixEuclideanCoefficientCLM_circleIntegral`.
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.Powers	reusable	new_casefold_vacant	-	Declaration-level review groups 10 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.norm_pow_le_two_mul_numericalRadius_pow`, `NumStability.numericalRadiusCLM_pow_le`, `NumStability.numericalRadiusCLM_pow_le_one_of_le_one`.
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality.PowersOfTwo	reusable	new_casefold_vacant	-	Reusable Berger k=2 and powers-of-two numerical-radius inequalities (`NumStability.norm_apply_sq_add_norm_inner_sq_le`, `NumStability.norm_pow_two_le_two_mul_numericalRadius_sq`, `NumStability.numericalRadiusCLM_pow_two_le`); declaration review found no resolvent statement in this group.
NumStability.Analysis.LinearOperators.NumericalRadius.Berger.Internal.HermitianEuclideanSpaceNotation	internal	new_casefold_vacant	-	Unsupported private notation required by the nearest reusable owner (`_private.NumStability.Analysis.BergerInequality.0.NumStability.term𝔼`); the leaf is deliberately internal and is never advertised by a public aggregate.
NumStability.Analysis.LinearOperators.NumericalRadius.Core.Internal.EuclideanSpaceNotation	internal	new_casefold_vacant	-	Unsupported private notation required by the nearest reusable owner (`_private.NumStability.Analysis.NumericalRadius.0.NumStability.term𝔼`); the leaf is deliberately internal and is never advertised by a public aggregate.
NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.Internal.ScalarNotation	internal	new_casefold_vacant	-	Unsupported private notation required by the nearest reusable owner (`_private.NumStability.Analysis.PseudospectralResolvent.0.NumStability.«term↑ₐ»`); the leaf is deliberately internal and is never advertised by a public aggregate.
NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal	reusable	new_casefold_vacant	-	Declaration-level review groups 3 source-independent declaration(s) under one mathematical dependency boundary; representative witnesses: `NumStability.normal_upperTriangular_isDiag`.
NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreissUnconditional.Bounds	source	new_casefold_vacant	-	Exact Higham Chapter 18 unconditional Kreiss correspondence aliases (`NumStability.higham18_kreiss_two_sided_proved`, `NumStability.higham18_kreiss_upper_proved`); the dedicated source-strength family keeps them separate from the reusable finite-dimensional bounds.
